sex,race_known,reason_stopped,searched,search_based_on,search_found,race,arrest_date,arrest_time,lng,lat
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,DRUGS,ASIAN,2020-03-08,2020-03-08 22:42:00,-97.70951145560073,30.28176698089142
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,NOTHING,ASIAN,2020-07-12,2020-07-12 01:18:00,-97.77461201899519,30.205007302607573
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,INCIDENTAL TO ARREST,OTHER,ASIAN,2020-08-22,2020-08-22 00:53:00,-97.75051880818695,30.21660302488127
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,YES = 1,FRISK FOR SAFETY,NOTHING,MIDDLE EASTERN,2020-04-11,2020-04-11 15:23:00,-97.72303934964778,30.21381808962548
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,YES = 1,INCIDENTAL TO ARREST,NOTHING,ASIAN,2020-10-10,2020-10-10 00:02:00,-97.74555229277689,30.29028055385689
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,YES = 1,INCIDENTAL TO ARREST,NOTHING,ASIAN,2020-07-19,2020-07-19 03:03:00,-97.75314431601522,30.287135966589684
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,YES = 1,INCIDENTAL TO ARREST,NOTHING,ASIAN,2020-11-23,2020-11-23 02:43:00,-97.73587037292165,30.43736642469203
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,YES = 1,INCIDENTAL TO ARREST,NOTHING,ASIAN,2020-11-01,2020-11-01 22:02:00,-97.82580050636867,30.455450368745407
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,NO = 2,No Search,No Search,ASIAN,2020-10-02,2020-10-02 22:39:00,-97.73212205622926,30.395490447159407
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,YES = 1,INCIDENTAL TO ARREST,NOTHING,ASIAN,2020-01-23,2020-01-23 01:14:00,-97.73986821630962,30.236319455535774
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,YES = 1,INCIDENTAL TO ARREST,NOTHING,MIDDLE EASTERN,2020-07-10,2020-07-10 02:33:00,-97.74758640476409,30.222633078261392
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,YES = 1,INCIDENTAL TO ARREST,NOTHING,ASIAN,2020-11-20,2020-11-20 01:38:00,-97.70659759657373,30.32293256161256
F,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,Violation of law other than traffic,YES = 1,INCIDENTAL TO ARREST,NOTHING,ASIAN,2020-10-17,2020-10-17 23:21:00,-97.82029977364898,30.23412178893426
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,NO = 2,No Search,No Search,BLACK,2020-04-03,2020-04-03 21:14:00,-97.73868962100877,30.265803991759462
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,NO = 2,No Search,No Search,BLACK,2020-01-05,2020-01-05 16:19:00,-97.67992243834631,30.290066221955104
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,NO = 2,No Search,No Search,BLACK,2020-01-18,2020-01-18 00:43:00,-97.63365960529995,30.29416079822582
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,NO = 2,No Search,No Search,BLACK,2020-05-26,2020-05-26 20:50:00,-97.74633961970774,30.413558972398747
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,CONTRABAND/EVIDENCE IN PLAIN VIEW,NOTHING,BLACK,2020-05-18,2020-05-18 23:33:00,-97.69517906450236,30.320225511469378
F,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,YES = 1,CONTRABAND/EVIDENCE IN PLAIN VIEW,NOTHING,BLACK,2020-05-18,2020-05-18 23:33:00,-97.69517906450236,30.320225511469378
