arrest_date,arrest_time,sex,race,searched,reason_stopped,search_based_on,search_found,race_known,lng,lat
2016-01-01,2355,F,WHITE,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.72180725647023,30.391166351351668
2016-01-02,123,M,HISPANIC OR LATINO,YES = 1,CALL FOR SERVICE,PROBABLE CAUSE,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.78708694804546,30.210685070597986
2016-01-02,123,M,HISPANIC OR LATINO,NO = 2,not_listed,not_listed,not_listed,not_listed,-97.78708694804546,30.210685070597986
2016-01-02,123,F,HISPANIC OR LATINO,YES = 1,VIOLATION OF PENAL CODE,PROBABLE CAUSE,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,-97.78708694804546,30.210685070597986
2016-01-01,2212,M,WHITE,NO = 2,not_listed,not_listed,not_listed,not_listed,-97.7058226344475,30.344056052966494
2016-01-01,2212,F,HISPANIC OR LATINO,YES = 1,OTHER,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.7058226344475,30.344056052966494
2016-01-01,658,F,WHITE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.72939146417208,30.321087249709656
2016-01-01,241,F,HISPANIC OR LATINO,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.73670734530356,30.264817716330544
2016-01-01,250,M,WHITE,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.86843770641876,30.201834027658624
2016-01-01,2310,M,BLACK,YES = 1,VIOLATION OF CITY ORDIANCE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.69212013780842,30.301448952490823
2016-01-01,2310,M,HISPANIC OR LATINO,YES = 1,VIOLATION OF CITY ORDIANCE,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.69212013780842,30.301448952490823
2016-01-01,2355,F,WHITE,YES = 1,CALL FOR SERVICE,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.72180725647023,30.391166351351668
